RANK,WORD,PART OF SPEECH,FREQUENCY,DISPERSION
4209,   combined,j,6495,0.93
70,   come,v,628254,0.95
3243,   comedy,n,9596,0.93
2951,   comfort,n,10674,0.95
1713,   comfortable,j,21101,0.96
4772,   coming,j,5181,0.96
2399,   command,n,14022,0.96
4035,   command,v,6688,0.96
2376,   commander,n,14425,0.94
1371,   comment,n,27712,0.95
2552,   comment,v,12930,0.96
1030,   commercial,j,40608,0.9
2400,   commission,n,14371,0.94
4366,   commissioner,n,6303,0.9
1402,   commit,v,26943,0.96
1626,   commitment,n,23152,0.93
1434,   committee,n,26697,0.94
4632,   commodity,n,5659,0.92
713,   common,j,55940,0.93
3792,   commonly,r,7861,0.89
2695,   communicate,v,12179,0.95
1256,   communication,n,31577,0.93
297,   community,n,133057,0.93
3586,   companion,n,8136,0.94
189,   company,n,203345,0.93
4692,   comparable,j,5600,0.91
834,   compare,v,48094,0.93
2185,   comparison,n,16809,0.9
4499,   compel,v,5728,0.95
4934,   compelling,j,4995,0.95
3833,   compensation,n,7512,0.92
2080,   compete,v,17264,0.94
